Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sheng, Z., Chen, Z., Gu, S., Huang, H., Gu, G., Huang, J.","59637880200;58953990200;59636142800;57218365315;14025549700;57013582200;","LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights",2025,"ACM Computing Surveys","58","5","134","","",0,2,"10.1145/3769082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025576701&doi=10.1145%2f3769082&partnerID=40&md5=bc9a2112816903e2a57aed6139bf4f36",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105025576701
"Pugh, S., Ruchkin, I., Weimer, J., Lee, I.","60087019100;55447362000;23394173400;36071144900;","Evaluating Robustness of Learning-Enabled Medical Cyber-Physical Systems with Naturally Adversarial Datasets",2025,"ACM Transactions on Cyber Physical Systems","9","4","42","","",0,,"10.1145/3734695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021994148&doi=10.1145%2f3734695&partnerID=40&md5=ad9553b0d7950c842eacb820f38529b1",Article,"Final","",Scopus,2-s2.0-105021994148
"Memon, M.A., Scoccia, G.L., Autili, M.","58084899800;57144390200;21741922600;","A systematic mapping study on automated negotiation for autonomous intelligent systems",2025,"Automated Software Engineering","32","2","44","","",0,2,"10.1007/s10515-025-00515-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004046021&doi=10.1007%2fs10515-025-00515-7&partnerID=40&md5=1e8bc6f19444cd7556fcb2dd1bf1c3c7",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105004046021
"Yuan, D., Yang, G., Zhang, T.","57763048700;58627978400;55547105895;","UI2HTML: utilizing LLM agents with chain of thought to convert UI into HTML code",2025,"Automated Software Engineering","32","2","41","","",0,2,"10.1007/s10515-025-00509-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003165945&doi=10.1007%2fs10515-025-00509-5&partnerID=40&md5=2d3e7554c36f5ab4d2b383f6637fb55a",Article,"Final","",Scopus,2-s2.0-105003165945
"Maikantis, T., Natsiou, I., Volioti, C., Arvanitou, E.-M., Ampatzoglou, A., Mittas, N., Chatzigeorgiou, A., Xinogalos, S.","57222340892;59180563200;55575136800;55209903200;16027681600;23091209400;6701702023;13006140900;","Code beauty is in the eye of the beholder: Exploring the relation between code beauty and quality",2025,"Journal of Systems and Software","229",,"112494","","",0,1,"10.1016/j.jss.2025.112494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005069570&doi=10.1016%2fj.jss.2025.112494&partnerID=40&md5=5698737cfe8d5661d019a074f08ecd44",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105005069570
"Wang, Y., Zhong, W., Huang, Y., Shi, E., Yang, M., Chen, J., Li, H., Ma, Y., Wang, Q., Zheng, Z.","57222817085;57211975950;57944072900;57226182242;56349712700;57184505400;57211503963;57832420700;57208587889;25224189400;","Agents in software engineering: survey, landscape, and vision",2025,"Automated Software Engineering","32","2","70","","",0,,"10.1007/s10515-025-00544-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012856499&doi=10.1007%2fs10515-025-00544-2&partnerID=40&md5=b2efd2eb3819480e8a12b2c33e43b697",Article,"Final","",Scopus,2-s2.0-105012856499
"Laatabi, A., Gaudou, B., Hanachi, C., Stolf, P.","57190213452;13605990300;56008871000;24470401100;","A Survey on the Use of Agent-Based Modeling and Simulation for the Vehicle Routing Problem",2025,"ACM Computing Surveys","58","4","93","","",0,,"10.1145/3769070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023833613&doi=10.1145%2f3769070&partnerID=40&md5=59b898d9b799f15f7769abf7046bd766",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105023833613
"Silvestre, I.D.O., Becker, L.B., Fisher, M., Hübner, J.F., de Brito, M.","57416281200;7202306446;55741961100;8703959000;56017055100;","Enhanced agent-oriented programming for robot teams",2025,"Engineering Applications of Artificial Intelligence","158",,"111390","","",0,1,"10.1016/j.engappai.2025.111390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009283875&doi=10.1016%2fj.engappai.2025.111390&partnerID=40&md5=56538aea4aa912fe4a919cd01f4438e4",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105009283875
"Holgado-Sánchez, A., Billhardt, H., Ossowski, S., Degli-Esposti, S.","57911943900;56651099300;49861964200;57222589691;","Learning the Value Systems of Societies from Preferences",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"1123","1130",0,,"10.3233/FAIA250923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024476713&doi=10.3233%2fFAIA250923&partnerID=40&md5=da301c15d4fd8a9c9b2fc5269fd5d6b0",Conference Paper,"Final","",Scopus,2-s2.0-105024476713
"Briola, D., Vizzari, G., Montinaro, M.","25930792600;8971141900;60233193900;","Enhancing Testing of MASs with a Simulator of JADE",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3687","3694",0,,"10.3233/FAIA251247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024485403&doi=10.3233%2fFAIA251247&partnerID=40&md5=8204fb87cdf22d6fd3d3b86803024e29",Conference Paper,"Final","",Scopus,2-s2.0-105024485403
"Lopez-Miguel, I.D., Adam, S., Bartocci, E., Eiter, T., Tappler, M.","57397985300;59762919200;14053557900;7005085805;57188583327;","OFTEN-DEEPRL: On-the-Fly Teaching of Ethical Norms to Deep Reinforcement Learning Agents",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3315","3322",0,,"10.3233/FAIA251200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024468329&doi=10.3233%2fFAIA251200&partnerID=40&md5=710bcf47e6755a9ad70c1faea3668db1",Conference Paper,"Final","",Scopus,2-s2.0-105024468329
"Shlomov, S., Wiesel, B., Sela, A., Levy, I., Galanti, L., Abitbol, R.","57207858588;60245873100;16307646400;59342087700;57579524100;57226489568;","From Grounding to Planning: Benchmarking Bottlenecks inWeb Agents",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"4815","4822",0,,"10.3233/FAIA251390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024478605&doi=10.3233%2fFAIA251390&partnerID=40&md5=f7d68d5fe8b1581dcafcdb9df50ec7df",Conference Paper,"Final","",Scopus,2-s2.0-105024478605
"Wu, X., Zhu, Q., Ji, J., Lin, Q., Chen, W.-N., Li, J.","57865934200;56651449600;56729758300;35113516400;15073864100;57207583851;","Population-Based Multi-Objective Reinforcement Learning with Information Sharing and Differentiation",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3001","3008",0,,"10.3233/FAIA251161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024452615&doi=10.3233%2fFAIA251161&partnerID=40&md5=af409b9248b2be441c385cf206a5b011",Conference Paper,"Final","",Scopus,2-s2.0-105024452615
"Xie, Z., Qiao, C., Yang, N., Zhao, Y.","57204198529;58683300400;59669939500;60011458200;","ADAPT: Auction-Based Dynamic Prioritization for Multi-Agent Coordination",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3527","3534",0,,"10.3233/FAIA251227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024412663&doi=10.3233%2fFAIA251227&partnerID=40&md5=6edbb8953bcd56bf2393dca834a2d271",Conference Paper,"Final","",Scopus,2-s2.0-105024412663
"Xie, Z., Wang, Y., Shen, S., Zhang, J.","57204198529;59490801800;58682386700;58398727100;","GraphSem: Robust Multi-Agent Reinforcement Learning via Semantic-Graph Communication",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3839","3846",0,,"10.3233/FAIA251266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024436874&doi=10.3233%2fFAIA251266&partnerID=40&md5=c2ff4a37980996daf232251127418b72",Conference Paper,"Final","",Scopus,2-s2.0-105024436874
"Ferrando, A., Cardoso, R.C.","55669011800;14521885100;","Reliable Intention Selection in BDI Agents with Recovery Shields",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3535","3542",0,,"10.3233/FAIA251228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024435457&doi=10.3233%2fFAIA251228&partnerID=40&md5=700bc69bc442c7b654c3d10627455dba",Conference Paper,"Final","",Scopus,2-s2.0-105024435457
"Ballot, G., Malvone, V., Leneutre, J., Ma, J.","57798435300;57009152700;16550190700;57221114682;","10.3233/FAIA250985",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"1599","1606",0,,"10.3233/FAIA250985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024441607&doi=10.3233%2fFAIA250985&partnerID=40&md5=153422c6b4def53a2df51f6f90f9b92e",Conference Paper,"Final","",Scopus,2-s2.0-105024441607
"Ao, L., Liu, H., Zhang, H.","59722409500;58849331300;56132640500;","Reasoning Optimization of Multi-Agent Systems via Abstract Domain Semantics",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"3066","3073",0,,"10.3233/FAIA251169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024490589&doi=10.3233%2fFAIA251169&partnerID=40&md5=dc3c6da04bdfd84eabe6ebde8eacdb10",Conference Paper,"Final","",Scopus,2-s2.0-105024490589
"Bethell, D., Gerasimou, S., Calinescu, R., Imrie, C.","58571994500;55351674500;6507842838;57456667500;","Safe Reinforcement Learning in Black-Box Environments via Adaptive Shielding",2025,"Frontiers in Artificial Intelligence and Applications","413",,,"2450","2457",0,,"10.3233/FAIA251092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024422440&doi=10.3233%2fFAIA251092&partnerID=40&md5=703115b670bb7eaf446fc4f036c74a99",Conference Paper,"Final","",Scopus,2-s2.0-105024422440
"Ghanmi, H.A., Ahmadjee, S., Bahsoon, R.","60154121400;57219639084;6508251119;","Evaluating the Need for Explanations in Blockchain Smart Contracts to Reconcile Surprises",2025,"ACM Transactions on Software Engineering and Methodology","34","8","234","","",0,1,"10.1145/3721283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019650064&doi=10.1145%2f3721283&partnerID=40&md5=4e87e8140ba50e34124ee5df00f79a4a",Article,"Final","",Scopus,2-s2.0-105019650064
"Roque, G., Nascimento, J., Souza, R., Alves, C., Araújo, J.","57444838900;57801970100;55695071600;24477033800;12802236400;","Trust requirements in sociotechnical systems: A systematic literature review",2025,"Information and Software Technology","186",,"107796","","",0,,"10.1016/j.infsof.2025.107796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007870193&doi=10.1016%2fj.infsof.2025.107796&partnerID=40&md5=b0ff0f3c3f2e66966c8cfce885e71941",Review,"Final","",Scopus,2-s2.0-105007870193
"Yu, L., Alégroth, E., Chatzipetrou, P., Gorschek, T.","57221079637;55843479600;36629991200;6507952308;","Measuring the quality of generative AI systems: Mapping metrics to quality characteristics — Snowballing literature review",2025,"Information and Software Technology","186",,"107802","","",0,1,"10.1016/j.infsof.2025.107802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008505516&doi=10.1016%2fj.infsof.2025.107802&partnerID=40&md5=753776c4b4080f079d2c3f9a3fe77eaf",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105008505516
"Piccialli, F., Chiaro, D., Sarwar, S., Cerciello, D., Qi, P., Mele, V.","42762051900;57870076700;57267073900;59389642400;57216837345;55754144300;","AgentAI: A comprehensive survey on autonomous agents in distributed AI for industry 4.0",2025,"Expert Systems with Applications","291",,"128404","","",0,12,"10.1016/j.eswa.2025.128404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007659883&doi=10.1016%2fj.eswa.2025.128404&partnerID=40&md5=a72ca1b90b38f2438ae12234fdd4605a",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105007659883
"Melis, B., de Sanctis, M., Inverardi, P., Malizia, A.","59328052200;56358489900;57192813016;7005110845;","Hybrid Autonomy: Towards a Unified Framework on Adaptability and Ethical Trust in Autonomous Systems",2025,"Frontiers in Artificial Intelligence and Applications","408",,,"82","93",0,,"10.3233/FAIA250628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020918474&doi=10.3233%2fFAIA250628&partnerID=40&md5=ed5b701a88ff37f5ccfe7fb7a8ea43c6",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105020918474
"Tutul, A.A., Chaspari, T., Levitan, S.I., Hirschberg, J.","57221598740;55351228300;56222582300;7005619286;","Detecting Trust Calibration Traits in AI with EEG Signals for Speech Deception",2025,"Frontiers in Artificial Intelligence and Applications","408",,,"122","137",0,,"10.3233/FAIA250631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020906250&doi=10.3233%2fFAIA250631&partnerID=40&md5=d6739d3e2e338a7f2095f412583b2b93",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105020906250
"Porter, Z., Calinescu, R., Lim, E., Hodge, V., Ryan, P., Burton, S., Habli, I., Lawton, T., McDermid, J., Molloy, J., Monkhouse, H., Morgan, P., Noordhof, P., Paterson, C., Standen, I., Zou, J.","57208588600;6507842838;57219600845;7004904183;59399892000;57195678486;23466763400;54585517800;7006615990;57864925500;54915725300;53863967600;6508178115;57188871679;58823812100;57804187900;","INSYTE: A Classification Framework for Traditional to Agentic AI Systems",2025,"ACM Transactions on Autonomous and Adaptive Systems","20","3","15","","",0,,"10.1145/3760424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018741498&doi=10.1145%2f3760424&partnerID=40&md5=5dfb138f7f2a753246eda027188f53da",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-105018741498
"Shi, L., Tang, Z., Zhang, N., Zhang, X., Yang, Z.","59259124100;59259175700;59359237600;59359323200;56101984100;","A Survey on Employing Large Language Models for Text-to-SQL Tasks",2025,"ACM Computing Surveys","58","2","54","","",0,9,"10.1145/3737873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020252988&doi=10.1145%2f3737873&partnerID=40&md5=174ef45910f8e3807ab60ebd069cdd7c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105020252988
"Zhang, L., Jia, T., Jia, M., Wu, Y., Liu, A., Yang, Y., Wu, Z., Hu, X., Yu, P., Li, Y.","57854414600;57158811300;57219764704;57757417600;57746750500;57191729092;36186428900;57219742451;7402366049;56342873200;","A Survey of AIOps in the Era of Large Language Models",2025,"ACM Computing Surveys","58","2","44","","",0,1,"10.1145/3746635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020262044&doi=10.1145%2f3746635&partnerID=40&md5=cd158e4be69ba999870cb58341e02a5d",Article,"Final","",Scopus,2-s2.0-105020262044
"Li, J., Gao, Y., Yang, Y., Bai, Y., Zhou, X., Li, Y., Sun, H., Liu, Y., Si, X., Ye, Y., Wu, Y., Lin, Y., Xu, B., Ren, B., Feng, C., Huang, H.","57551515900;57203915177;57549570000;57212062655;58999091200;58653686400;58678738400;58871807900;59336188800;59335356700;58728377500;59336025700;59335527100;59335199500;35182844100;7405614195;","Fundamental Capabilities and Applications of Large Language Models: A Survey",2025,"ACM Computing Surveys","58","2","38","","",0,4,"10.1145/3735632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020264634&doi=10.1145%2f3735632&partnerID=40&md5=2277421d9ca290f03d014bcd02ad7e14",Article,"Final","",Scopus,2-s2.0-105020264634
"Alhanahnah, M., Rashedul Hasan, M., Xu, L., Bagheri, H.","57191927163;55953776300;7404745606;56727790600;","An empirical evaluation of pre-trained large language models for repairing declarative formal specifications",2025,"Empirical Software Engineering","30","5","149","","",0,1,"10.1007/s10664-025-10687-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011685309&doi=10.1007%2fs10664-025-10687-1&partnerID=40&md5=70ddb65d9069289439023cff12a6ac2b",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105011685309
"Wang, J., Huang, Z., Yang, D., Huang, X., Zhu, Y.","57215014261;14325169600;57213485703;55445367700;56239177400;","Spatio-Clock Synchronous Constraint Systems Specification and Verification to Ensure Autonomous Driving Safety",2025,"Software Practice and Experience","55","9",,"1560","1579",0,1,"10.1002/spe.3436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007438104&doi=10.1002%2fspe.3436&partnerID=40&md5=e8fa45f915850d0db3d4bc25af25b86a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-105007438104
"Vyas, S., Mavroudis, V., Burnap, P.","57472833100;57200514266;8945612500;","Towards the Deployment of Realistic Autonomous Cyber Network Defence: A Systematic Review",2025,"ACM Computing Surveys","58","1","5","","",0,,"10.1145/3729213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020373712&doi=10.1145%2f3729213&partnerID=40&md5=b7d63db233493c818fadab2c3dc6d2c0",Review,"Final","",Scopus,2-s2.0-105020373712
"Wu, J.J., Fard, F.H.","57568156500;59157752600;","HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents",2025,"ACM Transactions on Software Engineering and Methodology","34","7","189","","",0,,"10.1145/3715109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018308457&doi=10.1145%2f3715109&partnerID=40&md5=0306fc7533becfda1dff3c6e5a10edf8",Article,"Final","",Scopus,2-s2.0-105018308457
"Clemmensen, T., Moghaddam, M.T., Nørbjerg, J.","23395640300;57202888715;16444764200;","Cyber-physical systems with Human-in-the-Loop: A systematic review of socio-technical perspectives",2025,"Journal of Systems and Software","226",,"112348","","",0,1,"10.1016/j.jss.2025.112348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219268358&doi=10.1016%2fj.jss.2025.112348&partnerID=40&md5=f555322138c92e83b778cc2c0fe71d38",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85219268358
"Parvizimosaed, A., Roveri, M., Rasti, A., Anda, A.A., Alfuhaid, S., Amyot, D., Logrippo, L., Mylopoulos, J.","57219096956;56880472700;57948647100;57191843121;58411085600;6602186776;6603538547;7005652259;","SymboleoPC: checking properties of legal contracts",2025,"Software and Systems Modeling","24","4",,"1093","1126",0,6,"10.1007/s10270-024-01180-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197368209&doi=10.1007%2fs10270-024-01180-2&partnerID=40&md5=1ff77a0a3c04310c33ff90bf8c54d45b",Article,"Final","",Scopus,2-s2.0-85197368209
"Casamayor, R., Arcega, L., Pérez, F., Cetina, C.","57547081400;55922754300;36091753500;19933413800;","Boosting bug localization in software models of video games with simulations and component-specific genetic operations",2025,"Software and Systems Modeling","24","4",,"1157","1185",0,,"10.1007/s10270-024-01253-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214088169&doi=10.1007%2fs10270-024-01253-2&partnerID=40&md5=613e04f206c4d2f3a38fa09237b6a77f",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85214088169
"Tariq, S., Baruwal Chhetri, M., Nepal, S., Paris, C.","57196864129;55940676600;14029165900;7005131270;","A2C: A modular multi-stage collaborative decision framework for human–AI teams",2025,"Expert Systems with Applications","282",,"127318","","",0,5,"10.1016/j.eswa.2025.127318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003183832&doi=10.1016%2fj.eswa.2025.127318&partnerID=40&md5=866467b05dba55a50841571f132234f0",Article,"Final","",Scopus,2-s2.0-105003183832
"Hagedorn, P., Fauth, J., Zentgraf, S., Seiß, S., König, M., Brilakis, I.","57202643228;57481556400;57750638300;57222239950;8883542500;8837673400;","OntoBPR: An ontology-based framework for performing building permit reviews using standardized information containers",2025,"Advanced Engineering Informatics","66",,"103369","","",0,3,"10.1016/j.aei.2025.103369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004353621&doi=10.1016%2fj.aei.2025.103369&partnerID=40&md5=86dda898179d04a97c3bc603f896b790",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105004353621
"Banh, L., Holldack, F., Strobel, G.","58639590200;59730926600;57205729621;","Copiloting the future: How generative AI transforms Software Engineering",2025,"Information and Software Technology","183",,"107751","","",0,11,"10.1016/j.infsof.2025.107751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002314681&doi=10.1016%2fj.infsof.2025.107751&partnerID=40&md5=70f11299b67ce4a98a1d7fdd1b04ff49",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105002314681
"Bemthuis, R.H., Lazarova-Molnar, S.","57212143113;23393330900;","Towards integrating process mining with agent-based modeling and simulation: State of the art and outlook",2025,"Expert Systems with Applications","281",,"127571","","",0,6,"10.1016/j.eswa.2025.127571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002637239&doi=10.1016%2fj.eswa.2025.127571&partnerID=40&md5=544589e86b860be202dbd0194be4b700",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105002637239
"Akbar, M.A., Khan, A.A., Mahmood, S., Hyrynsalmi, S.","57200183503;26434399300;8644998900;50361307000;","Management of DevSecOps Process: An Empirical Investigation",2025,"Software Practice and Experience","55","7",,"1234","1255",0,1,"10.1002/spe.3419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000311952&doi=10.1002%2fspe.3419&partnerID=40&md5=3596f3ebec9ece4452d7f1f8f046e8c8",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-105000311952
"Hosseini, S., Seilani, H.","55420256100;57212461205;","The role of agentic AI in shaping a smart future: A systematic review",2025,"Array","26",,"100399","","",0,40,"10.1016/j.array.2025.100399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005099002&doi=10.1016%2fj.array.2025.100399&partnerID=40&md5=7a32ef53eeb636416c9e2d3b81fdc69f",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105005099002
"Kausik, A.K., Rashid, A.B., Baki, R.F., Jannat Maktum, M.M.","58722410200;57200374470;58571358200;59723016200;","Machine learning algorithms for manufacturing quality assurance: A systematic review of performance metrics and applications",2025,"Array","26",,"100393","","",0,22,"10.1016/j.array.2025.100393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001829361&doi=10.1016%2fj.array.2025.100393&partnerID=40&md5=964565f3d3ed5dc5e11563ad3442408f",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105001829361
"Strathearn, C., Yu, Y., Gkatzia, D.","57204127919;56991624700;56349875100;","From documents to dialogue: Context matters in common sense-enhanced task-based dialogue grounded in documents",2025,"Expert Systems with Applications","279",,"127304","","",0,1,"10.1016/j.eswa.2025.127304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001867977&doi=10.1016%2fj.eswa.2025.127304&partnerID=40&md5=b8a329577c78c24cc7b5a2b97c955aab",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105001867977
"Zhang, H., Yu, P.S., Zhang, J.","60007737300;7402366049;55954167400;","A Systematic Survey of Text Summarization: From Statistical Methods to Large Language Models",2025,"ACM Computing Surveys","57","11","277","","",0,25,"10.1145/3731445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011295440&doi=10.1145%2f3731445&partnerID=40&md5=0d225acc46795ad590f10fcae0c37f0e",Article,"Final","",Scopus,2-s2.0-105011295440
"Pippas, N., Ludvig, E.A., Turkay, C.","59315189300;16233903300;26032708000;","The Evolution of Reinforcement Learning in Quantitative Finance: A Survey",2025,"ACM Computing Surveys","57","11","295","","",0,5,"10.1145/3733714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011252926&doi=10.1145%2f3733714&partnerID=40&md5=580c510638f9016704ee7dfedbbc1eb9",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105011252926
"Yan, E., Burattini, S., Hübner, J.F., Ricci, A.","58761111800;58031888200;8703959000;7202337846;","A multi-level explainability framework for engineering and understanding BDI agents",2025,"Autonomous Agents and Multi Agent Systems","39","1","9","","",0,7,"10.1007/s10458-025-09689-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218102222&doi=10.1007%2fs10458-025-09689-6&partnerID=40&md5=af2ea5f112efaa5e754a18261100724a",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85218102222
"Eisenberg, M., Wimmer, M.","57425527800;14030698000;","From single-objective to multi-objective reinforcement learning-based model transformation",2025,"Software and Systems Modeling","24","3",,"891","921",0,1,"10.1007/s10270-024-01233-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209792573&doi=10.1007%2fs10270-024-01233-6&partnerID=40&md5=4e1199a12dd2132d64728b4684339ea4",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85209792573
"Machado, R.A., Cardoso, A.D.S.Z., Farias, G.P., Gonçalves, E.M.N., Adamatti, D.F.","57211168489;59247687900;54918115500;26667621000;25929020300;","A formal testing method for multi-agent systems using colored Petri nets",2025,"Autonomous Agents and Multi Agent Systems","39","1","10","","",0,,"10.1007/s10458-025-09690-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218334995&doi=10.1007%2fs10458-025-09690-z&partnerID=40&md5=14c6e3578d8b23799aa57764e609c5b0",Article,"Final","",Scopus,2-s2.0-85218334995
"Bi, J., Wang, Z., Yuan, H., Shi, X., Wang, Z., Zhang, J., Zhou, M., Buyya, R.","55847050400;57393020000;36652221400;59522949700;59522949800;59836152700;7403506743;57194845546;","Large AI Models and Their Applications: Classification, Limitations, and Potential Solutions",2025,"Software Practice and Experience","55","6",,"1003","1017",0,4,"10.1002/spe.3408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215670407&doi=10.1002%2fspe.3408&partnerID=40&md5=84b0e5b7d97b44909bd54f29dde51d5d",Article,"Final","",Scopus,2-s2.0-85215670407
"Dery, L., Grinshpoun, T., Khakhiashvili, I.","36760776200;22985025800;57606424300;","Distributed Course Allocation with Asymmetric Friendships",2025,"Autonomous Agents and Multi Agent Systems","39","1","26","","",0,,"10.1007/s10458-025-09708-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005068019&doi=10.1007%2fs10458-025-09708-6&partnerID=40&md5=0f369f477c723f12068f1a7f2fac0a74",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105005068019
"Autili, M., De Sanctis, M., Inverardi, P., Pelliccione, P.","21741922600;56358489900;57192813016;8852257900;","Engineering Digital Systems for Humanity: A Research Roadmap",2025,"ACM Transactions on Software Engineering and Methodology","34","5","130","","",0,9,"10.1145/3712006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008794894&doi=10.1145%2f3712006&partnerID=40&md5=af5bfc1b13556c98ee5b255a11f9744e",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105008794894
"Gao, C., Hu, X., Gao, S., Xia, X., Jin, Z.","57189036288;57191413796;59187731100;54586248800;8961795500;","The Current Challenges of Software Engineering in the Era of Large Language Models",2025,"ACM Transactions on Software Engineering and Methodology","34","5","127","","",0,13,"10.1145/3712005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008811572&doi=10.1145%2f3712005&partnerID=40&md5=18b11acc2ae994ce529fa7525a31f5fd",Article,"Final","",Scopus,2-s2.0-105008811572
"Casadei, R., Aguzzi, G., Audrito, G., Damiani, F., Pianini, D., Scarso, G., Torta, G., Viroli, M.","55358634800;57224574088;56316439900;8072103800;36997527800;57262810500;6507387884;55665532100;","Software Engineering for Collective Cyber-Physical Ecosystems",2025,"ACM Transactions on Software Engineering and Methodology","34","5","153","","",0,2,"10.1145/3712004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007511221&doi=10.1145%2f3712004&partnerID=40&md5=ab691c84d5325f8031ece7eea3b1c6c0",Article,"Final","All Open Access, Green",Scopus,2-s2.0-105007511221
